Numer rachunku/karty,Data transakcji,Data rozliczenia,Rodzaj transakcji,Na konto/Z konta,Odbiorca/Zleceniodawca,Opis,Obciążenia,Uznania,Saldo,Waluta
PL94 1020 2892 0000 7302 0567 1234,2027-08-25,2027-08-25,ZAKUP - FIZ. UŻYCIE KARTY,,Amazon,Zakup w Amazon,-38.76,,31544.57,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-09-03,2027-09-03,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1330.65,32875.22,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-09-08,2027-09-08,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Piotr Nowak,Przelew na telefon,-72.25,,32802.97,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-09-13,2027-09-13,PŁATNOŚĆ BLIK,,eBay,Zakup w eBay,-130.25,,32672.72,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-09-22,2027-09-22,ZAKUP - FIZ. UŻYCIE KARTY,,Biedronka,Zakup w Biedronka,-159.96,,32512.76,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-09-30,2027-09-30,ZAKUP - FIZ. UŻYCIE KARTY,,Amazon,Zakup w Amazon,-101.73,,32411.03,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-10-04,2027-10-04,PŁATNOŚĆ BLIK,,Restauracja Italia,Zakup w Restauracja Italia,-154.3,,32256.73,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-10-08,2027-10-08,PŁATNOŚĆ BLIK W INTERNECIE,,Spotify,Zakup w Spotify,-19.99,,32236.74,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-10-17,2027-10-17,PŁATNOŚĆ BLIK W INTERNECIE,,H&M,Zakup w H&M,-173.5,,32063.24,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-10-22,2027-10-22,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Biedronka,Zakup w Biedronka,-159.82,,31903.42,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-11-01,2027-11-01,PŁATNOŚĆ BLIK W INTERNECIE,,H&M,Zakup w H&M,-267.89,,31635.53,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-11-05,2027-11-05,ZAKUP - FIZ. UŻYCIE KARTY,,Piekarnia Róg,Zakup w Piekarnia Róg,-33.54,,31601.99,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-11-13,2027-11-13,PŁATNOŚĆ BLIK W INTERNECIE,,Spotify,Zakup w Spotify,-19.99,,31582.00,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-11-18,2027-11-18,PŁATNOŚĆ BLIK W INTERNECIE,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-31.42,,31550.58,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-11-27,2027-11-27,PŁATNOŚĆ BLIK W INTERNECIE,,Allegro,Zakup w Allegro,-429.54,,31121.04,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-12-01,2027-12-01,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1326.4,32447.44,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-12-06,2027-12-06,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-154.51,,32292.93,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-12-09,2027-12-09,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Anna Jankowska,Przelew na telefon,-491.89,,31801.04,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-12-13,2027-12-13,PŁATNOŚĆ BLIK,,ElectroShop,Zakup w ElectroShop,-149.87,,31651.17,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-12-18,2027-12-18,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,3342.18,34993.35,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-12-23,2027-12-23,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-29.03,,34964.32,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-01-02,2028-01-02,ZAKUP - FIZ. UŻYCIE KARTY,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-110.41,,34853.91,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-01-11,2028-01-11,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,H&M,Zakup w H&M,-149.38,,34704.53,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-01-15,2028-01-15,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Michał Kowalczyk,Przelew na telefon,,180.12,34884.65,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-01-20,2028-01-20,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Katarzyna Lewandowska,Przelew na telefon,,330.4,35215.05,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-01-29,2028-01-29,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Tomasz Wójcik,Przelew na telefon,-228.01,,34987.04,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-02-05,2028-02-05,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Tomasz Wójcik,Przelew na telefon,,324.93,35311.97,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-02-13,2028-02-13,PŁATNOŚĆ BLIK,,eBay,Zakup w eBay,-46.88,,35265.09,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-02-17,2028-02-17,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,H&M,Zakup w H&M,-259.0,,35006.09,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-02-21,2028-02-21,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Maria Wiśniewska,Przelew na telefon,,294.84,35300.93,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-02-28,2028-02-28,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Michał Kowalczyk,Przelew na telefon,-125.47,,35175.46,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-03-07,2028-03-07,PŁATNOŚĆ BLIK W INTERNECIE,,MediaExpert,Zakup w MediaExpert,-178.93,,34996.53,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-03-14,2028-03-14,PŁATNOŚĆ BLIK W INTERNECIE,,eBay,Zakup w eBay,-214.6,,34781.93,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-03-17,2028-03-17,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Aleksandra Lis,Przelew na telefon,-119.96,,34661.97,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-03-27,2028-03-27,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,698.93,35360.90,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-04-05,2028-04-05,ZAKUP - FIZ. UŻYCIE KARTY,,Amazon,Zakup w Amazon,-195.22,,35165.68,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-04-13,2028-04-13,PŁATNOŚĆ BLIK,,Supermarket XYZ,Zakup w Supermarket XYZ,-156.12,,35009.56,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-04-16,2028-04-16,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,737.36,35746.92,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-04-23,2028-04-23,PŁATNOŚĆ BLIK W INTERNECIE,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-241.89,,35505.03,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-04-29,2028-04-29,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,972.55,36477.58,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-05-03,2028-05-03,PŁATNOŚĆ BLIK,,Piekarnia Róg,Zakup w Piekarnia Róg,-17.95,,36459.63,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-05-13,2028-05-13,PŁATNOŚĆ BLIK,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-228.99,,36230.64,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-05-17,2028-05-17,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2377.27,38607.91,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-05-21,2028-05-21,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Piekarnia Róg,Zakup w Piekarnia Róg,-30.91,,38577.00,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-05-25,2028-05-25,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Jan Kowalski,Przelew na telefon,-218.24,,38358.76,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-05-28,2028-05-28,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Katarzyna Lewandowska,Przelew na telefon,,191.84,38550.60,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-06-01,2028-06-01,ZAKUP - FIZ. UŻYCIE KARTY,,Allegro,Zakup w Allegro,-336.78,,38213.82,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-06-07,2028-06-07,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,MediaExpert,Zakup w MediaExpert,-932.88,,37280.94,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-06-10,2028-06-10,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Amazon,Zakup w Amazon,-193.76,,37087.18,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-06-13,2028-06-13,PŁATNOŚĆ BLIK W INTERNECIE,,Piekarnia Róg,Zakup w Piekarnia Róg,-23.88,,37063.30,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-06-20,2028-06-20,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Jan Kowalski,Przelew na telefon,,232.25,37295.55,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-06-27,2028-06-27,ZAKUP - FIZ. UŻYCIE KARTY,,Allegro,Zakup w Allegro,-73.19,,37222.36,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-06-30,2028-06-30,PŁATNOŚĆ BLIK,,Biedronka,Zakup w Biedronka,-102.15,,37120.21,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-07-08,2028-07-08,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Katarzyna Lewandowska,Przelew na telefon,-97.27,,37022.94,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-07-11,2028-07-11,PŁATNOŚĆ BLIK W INTERNECIE,,ElectroShop,Zakup w ElectroShop,-93.23,,36929.71,PLN
PL94 1020 2892 0000 7302 0567 1234,2028-07-16,2028-07-16,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Katarzyna Lewandowska,Przelew na telefon,-457.99,,36471.72,PLN
